source,target
HSP90AB1,HSPE1
HSP90AB1,AHR
HSP90AB1,LRP1
HSP90AB1,HSPB1
HSP90AB1,TSG101
HSP90AB1,HSPBP1
HSP90AB1,CDK4
HSP90AB1,CCT7
HSP90AB1,RIPK1
HSP90AB1,TLR2
HSP90AB1,PIH1D1
HSP90AB1,HDAC4
HSP90AB1,BCL2A1
HSP90AB1,NCOR1
HSP90AB1,TP53
HSP90AB1,ERBB2
HSP90AB1,EGFR
HSP90AB1,CCT6A
HSP90AB1,AIP
HSP90AB1,CCT5
HSP90AB1,HSPB8
HSP90AB1,TOMM70
HSP90AB1,CCT8
HSP90AB1,CALM3
HSP90AB1,CCT3
HSP90AB1,HSPA9
HSP90AB1,NOS3
HSP90AB1,CCT2
HSP90AB1,HSP90B1
HSP90AB1,HSPA4
HSP90AB1,HSPB3
HSP90AB1,TERT
HSP90AB1,RSF1
HSP90AB1,CALML3
HSP90AB1,TCP1
HSP90AB1,RUVBL1
HSP90AB1,CHORDC1
HSP90AB1,CALR
HSP90AB1,HSPA5
HSP90AB1,GSK3B
HSP90AB1,HSP90AA1
HSP90AB1,NLRP3
HSP90AB1,EZR
HSP90AB1,CAV1
HSP90AB1,HSPD1
HSP90AB1,MAPT
HSP90AB1,VCP
HSP90AB1,TGFBR2
HSP90AB1,BAG3
HSP90AB1,CHUK
HSP90AB1,AKT3
HSP90AB1,SRC
HSP90AB1,CDC37L1
HSP90AB1,KEAP1
HSP90AB1,RUVBL2
HSP90AB1,FKBP8
HSP90AB1,HIF1A
HSP90AB1,HDAC6
HSP90AB1,HSPA1A
HSP90AB1,ACTB
HSP90AB1,DNAJA1
HSP90AB1,CALML4
HSP90AB1,IKBKB
HSP90AB1,ESR1
HSP90AB1,FKBPL
HSP90AB1,AR
HSP90AB1,RAF1
HSP90AB1,ABL1
HSP90AB1,TLR4
HSP90AB1,APAF1
HSP90AB1,CALML5
HSP90AB1,HSPH1
HSP90AB1,HSF1
HSP90AB1,HSPA1L
HSP90AB1,AGO1
HSP90AB1,BRAF
HSP90AB1,IKBKG
HSP90AB1,CCT4
HSPA4,ST13
HSPA4,AHSA1
HSPA4,STUB1
HSPA4,SGTA
HSPA4,CDC37
HSPA4,TTC1
HSPA4,NR3C1
HSPA4,HSPE1
HSPA4,TARDBP
HSPA4,LRP1
HSPA4,HSPB1
HSPA4,TSG101
HSPA4,HSPBP1
HSPA4,TLR2
HSPA4,DNAJB6
HSPA4,CD81
HSPA4,GRPEL1
HSPA4,TP53
HSPA4,ERBB2
HSPA4,SOD1
HSPA4,TIMM44
HSPA4,EGFR
HSPA4,HSPB8
HSPA4,TOMM70
HSPA4,BAG4
HSPA4,CLPB
HSPA4,HSPA9
HSPA4,HSP90B1
HSPA4,TLR4
HSPA4,DNAJC7
HSPA4,UBE3A
HSPA4,TJP1
HSPA4,DNAJB4
HSPA4,PARK7
HSPA4,APAF1
HSPA4,HSPH1
HSPA4,CD40
HSPA4,HSPA5
HSPA4,EIF4G1
HSPA4,HSPA6
HSPA4,CD63
HSPA4,HSF1
HSPA4,BAG5
HSPA4,IKBKG
HSPA4,DNAJC2
HSPA4,OLR1
HSPA4,UBQLN2
HSPA4,KLRD1
HSPA4,PRKN
HSPA4,HTT
HSPA4,HDAC1
HSPA4,HSP90AA1
HSPA4,HNRNPD
HSPA4,BAG1
HSPA4,DNAJA2
HSPA4,HIF1A
HSPA4,DNAJB2
HSPA4,HSPD1
HSPA4,HSPB3
HSPA4,CD9
HSPA4,SP100
HSPA4,GAPDH
HSPA4,CASP3
HSPA4,TRAF6
HSPA4,ESR1
HSPA4,BAG3
HSPA4,BAG2
HSPA4,DNAJA1
HSPA4,DNAJC3
HSPA4,EEF1A1
HSPA4,CALR
HSPA4,MAPT
HSPA4,AR
HSPA4,SNCA
NR3C1,CRY1
NR3C1,FOS
NR3C1,HSPA1L
NR3C1,NCOA2
NR3C1,NCOR2
NR3C1,NCOA3
NR3C1,PPARGC1A
NR3C1,CREBBP
NR3C1,NCOR1
NR3C1,NCOA1
NR3C1,PER2
NR3C1,SMARCA4
NR3C1,DAXX
NR3C1,TP53
NR3C1,EP300
NR3C1,JUN
NR3C1,STAT3
NR3C1,NTRK2
NR3C1,HDAC1
NR3C1,HSP90AA1
NR3C1,SMAD3
NR3C1,CREB1
HSP90AA1,RPAP3
HSP90AA1,PPP5C
HSP90AA1,MAPK1
HSP90AA1,ST13
HSP90AA1,AHSA1
HSP90AA1,STUB1
HSP90AA1,AGO2
HSP90AA1,RIPK2
HSP90AA1,SGTA
HSP90AA1,CDC37
HSP90AA1,PPIF
HSP90AA1,HSPE1
HSP90AA1,AHR
HSP90AA1,LRP1
HSP90AA1,HSPB1
HSP90AA1,TSG101
HSP90AA1,CDK4
HSP90AA1,MDM2
HSP90AA1,RIPK1
HSP90AA1,TLR2
HSP90AA1,KCNH2
HSP90AA1,PIH1D1
HSP90AA1,KDR
HSP90AA1,HDAC4
HSP90AA1,STAT3
HSP90AA1,ERBB3
HSP90AA1,BCL2A1
HSP90AA1,NCOR1
HSP90AA1,TP53
HSP90AA1,ERBB2
HSP90AA1,EGFR
HSP90AA1,AIP
HSP90AA1,TOMM70
HSP90AA1,CALM3
HSP90AA1,HSPA9
HSP90AA1,NOS3
HSP90AA1,HSP90B1
HSP90AA1,PLK1
HSP90AA1,HSPB3
HSP90AA1,TERT
HSP90AA1,RSF1
HSP90AA1,CALML3
HSP90AA1,TCP1
HSP90AA1,RUVBL1
HSP90AA1,CHORDC1
HSP90AA1,CALR
HSP90AA1,HSPA5
HSP90AA1,GSK3B
HSP90AA1,TBK1
HSP90AA1,ACTB
HSP90AA1,HSPA1A
HSP90AA1,GAPDH
HSP90AA1,MYC
HSP90AA1,HSPD1
HSP90AA1,BCL2
HSP90AA1,CAV1
HSP90AA1,HDAC6
HSP90AA1,MAPT
HSP90AA1,AR
HSP90AA1,NLRP3
HSP90AA1,FKBPL
HSP90AA1,CHUK
HSP90AA1,RAF1
HSP90AA1,IKBKB
HSP90AA1,ESR1
HSP90AA1,DNAJA1
HSP90AA1,EZR
HSP90AA1,CALML4
HSP90AA1,CDKN1A
HSP90AA1,KEAP1
HSP90AA1,PRKN
HSP90AA1,CDC37L1
HSP90AA1,FKBP8
HSP90AA1,VCP
HSP90AA1,SRC
HSP90AA1,AKT3
HSP90AA1,HIF1A
HSP90AA1,UNC45A
HSP90AA1,RACK1
HSP90AA1,DCTN2
HSP90AA1,HSF1
HSP90AA1,HSPA1L
HSP90AA1,AGO1
HSP90AA1,DYNC1H1
HSP90AA1,USP19
HSP90AA1,SMYD3
HSP90AA1,CDK1
HSP90AA1,BRAF
HSP90AA1,IKBKG
HSP90AA1,TGFBR1
HSP90AA1,IRF3
HSP90AA1,SMYD2
HSP90AA1,DNAJC7
HSP90AA1,ABL1
HSP90AA1,TLR4
HSP90AA1,HSPH1
HSP90AA1,APAF1
HSP90AA1,CALML5
HSP90AA1,TGFBR2
HSP90AA1,PINK1
AHSA1,CDC37
AHSA1,DNAJA1
AHSA1,HSP90B1
PHLPP1,USP12
PHLPP1,USP1
PHLPP1,PHLPP2
PHLPP1,WDR48
PHLPP1,AKT3
PHLPP1,USP46
PHLPP1,SCRIB
AR,STUB1
AR,CCND1
AR,FOXA1
AR,MDM2
AR,USP14
AR,CREBBP
AR,EP300
AR,BRD4
AR,STAT3
AR,NCOR1
AR,TP53
AR,HSP90B1
AR,PRKACA
AR,EZH2
AR,RCHY1
AR,RNF14
AR,SMAD3
AR,PRKACB
AR,NCOA3
AR,HDAC1
AR,SRC
AR,NCOR2
AR,PIAS1
AR,NCOA2
AR,SPOP
AR,KDM1A
AR,TGFB1I1
AR,TMPRSS2
AR,NCOA4
AR,PAK6
AR,CTNNB1
AR,NCOA1
AR,BRCA1
AR,ESR1
AR,NKX3-1
AR,BUD31
AR,FOXO1
CYP26B1,CYP2C9
CYP26B1,CYP3A5
CYP26B1,ALDH1A1
CYP26B1,CYP3A4
CYP26B1,AOX1
CYP26B1,CYP2C18
CYP26B1,ALDH1A3
CYP26B1,ALDH1A2
CYP2C9,FMO2
CYP2C9,GSTA3
CYP2C9,CYP4F3
CYP2C9,CYP3A5
CYP2C9,GGCX
CYP2C9,GSTM2
CYP2C9,ALDH1A2
